area,density
all,302.7
dong_bang_song_hong,1115.3
ha_noi,2555.8
vinh_phuc,980.1
bac_ninh,1844.4
quang_ninh,222.5
hai_duong,1173.0
hai_phong,1379.0
hung_yen,1398.6
thai_binh,1187.9
ha_nam,1027.8
nam_dinh,1130.8
ninh_binh,720.4
trung_du_va_mien_nui_phia_bac,138.3
ha_giang,113.5
cao_bang,81.8
bac_kan,67.2
tuyen_quang,138.4
lao_cai,122.5
yen_bai,124.1
thai_nguyen,383.4
lang_son,97.1
bac_giang,493.5
phu_tho,433.1
dien_bien,67.7
lai_chau,54.0
son_la,93.1
hoa_binh,191.8
bac_trung_bo_va_duyen_hai_mien_trung,216.7
thanh_hoa,336.4
nghe_an,208.8
ha_tinh,220.8
quang_binh,114.9
quang_tri,139.2
thua_thien_hue,235.8
da_nang,969.2
quang_nam,144.3
quang_ngai,242.1
binh_dinh,248.3
phu_yen,174.6
khanh_hoa,242.4
ninh_thuan,179.2
binh_thuan,158.5
tay_nguyen,113.0
kon_tum,61.1
gia_lai,104.1
dak_lak,147.8
dak_nong,104.8
lam_dong,137.5
dong_nam_bo,807.5
binh_phuoc,152.1
tay_ninh,295.6
binh_duong,1047.8
dong_nai,564.6
ba_ria_vung_tau,599.0
hcm,4513.1
dong_bang_song_cuu_long,426.7
long_an,387.9
tien_giang,700.5
ben_tre,546.0
tra_vinh,426.6
vinh_long,674.8
dong_thap,473.1
an_giang,539.0
kien_giang,276.3
can_tho,874.0
hau_giang,448.9
soc_trang,363.5
bac_lieu,346.8
ca_mau,228.9
